OpportunityId;quarter;CompanyId;TrendScore;FeatureScore;BA;BR
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3360;11780;900;500
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2630;25742;1132;500
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;737962add6b0f4823171184ee18ac3dd;3125;22952;1472;500
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2910;11690;752;500
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3360;11780;900;250
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2630;25742;1132;250
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;737962add6b0f4823171184ee18ac3dd;3125;22952;1472;250
Nat1Xk9zVWydQ49GzCFjblbB;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2910;11690;752;250
