OpportunityId;quarter;CompanyId;TrendScore;FeatureScore;BA;BR
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3280;19997;900;250
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;e6c258674d561c2b6fdac38a79d57243;3065;26125;1132;250
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;737962add6b0f4823171184ee18ac3dd;2575;6630;1472;250
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;437ba6fe24d7295ca42a59064db52b12;3155;29627;752;250
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2085;32587;676;666
9vJpELnO1QYqr1IcaKwa1xw9;2019 Q3;737962add6b0f4823171184ee18ac3dd;3145;20780;648;666
