OpportunityId;quarter;CompanyId;TrendScore;FeatureScore;BA;BR
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3390;25130;900;500
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2975;14637;1132;500
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;737962add6b0f4823171184ee18ac3dd;2960;34672;1472;500
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2340;26839;752;500
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3390;25130;900;250
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;e6c258674d561c2b6fdac38a79d57243;2975;14637;1132;250
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;737962add6b0f4823171184ee18ac3dd;2960;34672;1472;250
zkdrTMJZkdVpAPrSdxcIfL6q;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2340;26839;752;250
