OpportunityId;quarter;CompanyId;TrendScore;FeatureScore;BA;BR
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3410;10070;900;500
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;e6c258674d561c2b6fdac38a79d57243;3225;15640;1132;500
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;737962add6b0f4823171184ee18ac3dd;2610;34210;1472;500
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2720;15980;752;500
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;595c32c9d98776c9c7b553e2ffb7c2d6;3410;10070;900;250
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;e6c258674d561c2b6fdac38a79d57243;3225;15640;1132;250
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;737962add6b0f4823171184ee18ac3dd;2610;34210;1472;250
2yFuNQZzxkmHggwqAEYLz7Ln;2019 Q3;437ba6fe24d7295ca42a59064db52b12;2720;15980;752;250
